Geometric Altitude (ft),Geopotential Altitude (ft),Temperature (Rankine),Pressure (lbf/ft^2),Density (slugs/ft^3),Speed of Sound (ft/sec)
0,0,518.67,2.12E+03,2.38E-03,1116.45
5000,4999,500.843,1.76E+03,2.05E-03,1097.1
10000,9995,483.025,1.46E+03,1.76E-03,1077.4
15000,14989,465.216,1.19E+03,1.50E-03,1057.36
20000,19981,447.415,9.73E+02,1.27E-03,1036.93
25000,24970,429.623,7.86E+02,1.07E-03,1016.1
30000,29957,411.839,6.30E+02,8.91E-04,994.85
35000,34941,394.063,4.99E+02,7.38E-04,973.14
40000,39923,389.97,3.93E+02,5.87E-04,968.08
45000,44903,389.97,3.09E+02,4.62E-04,968.08
50000,49880,389.97,2.44E+02,3.64E-04,968.08
55000,54855,389.97,1.92E+02,2.87E-04,968.08
60000,59828,389.97,1.51E+02,2.26E-04,968.08
65000,64798,389.97,1.19E+02,1.78E-04,968.08
70000,69766,392.246,9.37E+01,1.39E-04,970.9
75000,74731,394.971,7.40E+01,1.09E-04,974.26
80000,79694,397.693,5.85E+01,8.57E-05,977.62
85000,84655,400.415,4.64E+01,6.74E-05,980.95
90000,89613,403.135,3.68E+01,5.31E-05,984.28
95000,94569,405.854,2.92E+01,4.20E-05,987.59
100000,99523,408.572,2.33E+01,3.32E-05,990.9
105000,104474,411.289,1.86E+01,2.63E-05,994.18
110000,109423,418.385,1.48E+01,2.07E-05,1002.72
115000,114369,425.983,1.19E+01,1.63E-05,1011.79
120000,119313,433.578,9.60E+00,1.29E-05,1020.77
125000,124255,441.17,7.77E+00,1.03E-05,1029.67
130000,129195,448.758,6.31E+00,8.19E-06,1038.48
135000,134132,456.342,5.14E+00,6.57E-06,1047.22
140000,139066,463.923,4.21E+00,5.28E-06,1055.88
145000,143999,471.5,3.45E+00,4.26E-06,1064.47
150000,148929,479.073,2.84E+00,3.46E-06,1072.99
155000,153857,486.643,2.35E+00,2.81E-06,1081.43
160000,158782,487.17,1.94E+00,2.32E-06,1082.02
165000,163705,487.17,1.61E+00,1.92E-06,1082.02
170000,168625,487.17,1.33E+00,1.59E-06,1082.02
175000,173544,483.944,1.10E+00,1.32E-06,1078.43
